Cell Line,Cancer Type,Tissue,17-AAG,681640,A-443654,A-770041,ABT-263,ABT-888,AG-014699,AICAR,AKT inhibitor VIII,AMG-706,AP-24534,AS601245,ATRA,AUY922,AZ628,AZD-0530,AZD-2281,AZD6244,AZD6482,AZD7762,AZD8055,Axitinib,BAY 61-3606,BI-2536,BIBW2992,BIRB 0796,BMS-509744,BMS-536924,BMS-708163,BMS-754807,BX-795,Bexarotene,Bicalutamide,Bleomycin,Bortezomib,Bosutinib,Bryostatin 1,CCT007093,CCT018159,CEP-701,CGP-082996,CGP-60474,CHIR-99021,CI-1040,CMK,Camptothecin,Cyclopamine,Cytarabine,DMOG,Dasatinib,Docetaxel,Doxorubicin,EHT 1864,Elesclomol,Embelin,Epothilone B,Erlotinib,Etoposide,FH535,FTI-277,GDC-0449,GDC0941,GNF-2,GSK-1904529A,GSK-650394,GSK269962A,GW 441756,GW843682X,Gefitinib,Gemcitabine,IPA-3,Imatinib,JNJ-26854165,JNK Inhibitor VIII,JNK-9L,JW-7-52-1,KIN001-135,KU-55933,LAQ824,LFM-A13,Lapatinib,Lenalidomide,MG-132,MK-2206,MS-275,Methotrexate,Midostaurin,Mitomycin C,NSC-87877,NU-7441,NVP-BEZ235,NVP-TAE684,Nilotinib,Nutlin-3a,OSI-906,OSU-03012,Obatoclax Mesylate,PAC-1,PD-0325901,PD-0332991,PD-173074,PF-02341066,PF-4708671,PF-562271,PHA-665752,PLX4720,Paclitaxel,Parthenolide,Pazopanib,Pyrimethamine,QS11,RDEA119,RO-3306,Rapamycin,Roscovitine,S-Trityl-L-cysteine,SB 216763,SB590885,SL 0101-1,Salubrinal,Shikonin,Sorafenib,Sunitinib,TGX221,TW 37,Temsirolimus,Thapsigargin,Tipifarnib,VX-680,VX-702,Vinblastine,Vinorelbine,Vorinostat,WH-4-023,WZ-1-84,XMD8-85,Z-LLNle-CHO,ZM-447439
COLO-679,breast,breast,-2.188303,1.961444,,,5.274029,6.271966,6.099413,11.596528,3.835703,5.597094,0.950131,4.378427,6.687794,-3.471596,,,5.425119,-1.075313,3.235756,-2.397874,0.960244,5.318834,2.614221,,3.566372,5.778161,,,4.943032,0.15653,2.878517,6.338858,4.161332,0.978971,,5.570068,-0.4629,4.121657,3.80915,-0.960901,,,5.302605,-1.11718,,-4.578488,,0.24603,5.057695,,-5.16203,-4.136866,3.19107,-4.259069,1.434586,-7.839451,,-1.813844,0.875576,1.405005,7.09868,4.538385,,3.97682,1.667727,,5.409304,,3.68815,-4.598005,3.355246,,2.791014,7.18588,-1.388217,,,6.110176,-6.313802,4.347285,,6.524926,,4.84224,,2.922283,1.427027,-2.405186,6.903727,2.480396,-2.102486,,2.077779,2.740908,1.773167,0.889084,-5.301418,-0.218981,-4.603778,2.758001,4.58736,,4.782626,2.344541,,0.099522,,,2.780265,,0.977529,-1.880234,5.81142,,,,7.163117,-0.950861,7.115028,,-1.692769,,,,-1.45408,0.323168,-9.121153,-0.015048,,4.397794,-4.259378,-6.30223,1.792184,,,,,3.460893
COLO-680N,skin,melanoma,0.114351,5.192093,,,4.539612,5.193089,5.119635,8.021785,2.168782,4.929295,-0.128591,2.559627,5.902792,-3.122006,,,5.63579,1.678222,3.971476,1.62508,3.749556,4.508866,2.738727,,2.232158,6.943178,,,6.171845,-0.223829,4.021385,5.73291,4.115885,1.750642,,3.945483,-1.154265,6.162197,3.529326,2.823115,,,5.713379,3.548883,,-1.44354,,2.325739,5.489096,,-4.356126,-3.38508,6.225642,0.497898,2.963701,-4.938548,,2.110966,2.522779,1.599172,6.131264,5.217459,,4.249745,6.975152,,4.706783,,2.576446,-2.583779,7.609698,,4.905617,6.798338,-0.571034,,,5.16775,-3.948123,6.504517,,4.593549,,4.359761,,2.005648,-0.752775,-1.410184,6.515309,4.448874,-0.138134,,5.21852,5.056057,3.64515,1.846229,-2.986464,3.813941,0.343748,2.957928,5.270401,,6.473683,1.8526,,6.633383,,,5.938461,,5.545868,4.216021,3.357022,,,,6.742292,5.824427,6.922294,,-0.527588,,,,0.360991,1.447715,-4.016004,1.727606,,5.195689,-0.971636,-2.931596,1.811596,,,,,2.676133
COLO-684,lung,lung_NSCLC_adenocarcinoma,-0.241175,4.277375,-2.532395,5.787775,4.610021,5.758962,4.072314,6.636138,2.744157,3.824306,4.072934,2.613209,5.522412,-2.506169,4.488064,5.356141,4.002167,5.952129,0.850295,-1.434657,-1.393683,2.248759,1.765218,-1.850191,3.508181,6.246614,4.522454,6.241623,6.393641,1.622922,2.840294,5.786535,4.873834,5.470017,-5.609524,3.435101,-1.267183,5.573242,1.909118,-0.406783,4.542022,-2.355061,6.106774,3.026181,5.604867,-2.830514,6.355514,1.932264,6.327654,3.833538,-3.644477,-1.515084,4.584736,-3.923226,3.026104,-4.966187,5.8113,2.821098,2.492961,3.695961,4.631331,-1.538286,3.44409,3.644516,3.251745,5.800092,5.015703,-2.349841,3.732742,-3.634113,3.010766,4.56683,3.249685,6.403302,-0.609846,-3.087639,6.24832,5.039797,-3.198542,6.634433,4.851723,6.242468,-0.098071,-1.233153,1.790916,-3.886424,1.2082,-0.224025,7.218526,4.070793,-3.334488,2.458844,4.954773,6.51424,4.992691,2.038106,-0.421432,3.103457,2.935908,5.698962,5.602073,4.211763,6.205795,1.658935,5.919135,6.04462,-3.53775,6.460996,5.905045,1.910426,2.936375,5.263085,6.159819,-3.223774,3.611242,0.733596,6.452778,6.594085,6.257859,3.414816,-0.914976,4.030519,4.504866,5.960557,-1.875669,-2.522182,-1.065227,1.742327,3.485654,4.223932,-3.431103,-4.29319,2.794101,4.309512,6.609425,3.298992,3.77204,4.811139
COLO-741,lung,lung_NSCLC_large_cell,3.355491,3.354869,,,4.583613,6.210536,6.208851,10.669054,5.222685,2.612933,3.952138,3.079147,6.225596,-2.894841,,,5.638147,-0.63263,4.3425,1.841247,1.74396,4.425283,2.953721,,3.740691,3.270818,,,6.023328,4.367919,4.323611,4.239231,4.126021,2.798666,,4.412243,-1.850505,6.449791,5.753597,1.117613,,,5.179316,1.652473,,-3.735549,,-0.670571,11.468066,,-4.613379,-1.636911,5.183954,-2.336554,2.004292,-5.907291,,3.889708,1.502894,3.234985,6.71358,4.081522,,3.203713,3.936228,,4.396631,,3.475819,-2.119246,2.890317,,3.981269,5.288903,3.079296,,,6.6998,-2.164063,3.941268,,6.126237,,3.692134,,-1.078247,4.013052,0.788129,6.182679,4.480309,0.403937,,4.753586,4.542239,3.289684,2.399128,-1.151565,2.049386,-4.947698,0.278306,5.064277,,6.875906,5.27106,,2.081538,,,2.896369,,3.659439,-0.089261,4.859488,,,,6.428543,2.702817,6.44248,,0.991104,,,,0.314249,-1.344546,-4.519791,1.8793,,5.212277,-4.224751,-3.332902,2.66254,,,,,2.485783
COLO-792,lung,lung_small_cell_carcinoma,-1.163124,3.051341,,,0.182912,5.534041,6.124636,9.246055,5.076436,2.698811,3.122854,6.924617,4.691073,-2.424237,,,5.70724,0.170842,2.887267,2.06322,4.059559,4.392774,6.975053,,3.229745,6.425438,,,4.852928,3.038726,5.078144,6.734557,4.528439,3.273559,,2.933838,-2.439141,5.331843,5.660502,1.083028,,,3.324058,1.043898,,-1.776822,,0.052168,8.956757,,-3.630021,1.108133,1.363253,-3.548288,6.215373,-0.760637,,5.423234,0.697417,3.818124,6.831753,3.75878,,1.407702,3.800343,,3.352086,,2.168992,3.767993,7.813688,,1.832932,6.082465,3.693557,,,5.893035,0.908148,6.277903,,5.610531,,4.556572,,2.831208,-1.204906,0.407226,7.866057,4.048906,-1.037266,,4.951213,4.273931,2.130048,6.840686,-2.027572,4.263851,-3.14302,2.30133,5.047528,,3.92442,3.07189,,5.803641,,,6.596735,,1.567359,-0.27266,5.724689,,,,6.259526,5.98984,6.6017,,4.406141,,,,-1.396367,-1.297573,-2.820738,2.502274,,5.038377,-3.663817,-1.512108,1.660808,,,,,3.766529
COLO-800,lung,lung_small_cell_carcinoma,-1.354319,2.401132,5.380914,5.459772,3.67343,4.551664,-0.458903,9.455833,6.158525,4.655767,3.626125,5.307306,5.365137,1.205661,2.891169,3.968561,-0.817262,5.677176,4.467679,-0.505379,-0.359357,2.072533,2.998572,3.69081,2.003432,4.965478,7.415079,7.110187,5.9576,0.85737,0.718504,4.970887,5.467068,0.791698,-4.037793,3.757745,0.468882,6.093092,3.042305,-1.659441,4.69066,-0.061632,3.819684,4.701168,6.227699,-7.756107,7.509068,-0.856694,9.115801,4.317607,-7.622133,-1.761443,2.582406,-3.50923,3.765605,-3.425439,6.426095,0.741246,2.18687,4.556968,4.56329,2.084631,4.137364,4.375878,7.449601,4.847971,4.500665,3.567165,3.125237,-3.204946,7.655018,4.92403,1.634403,4.709762,0.687663,5.044266,5.68752,5.802762,-2.281996,7.012395,5.698387,5.822392,3.342707,3.53703,5.749278,-2.089766,0.33904,-2.54265,7.824912,4.730744,-3.413672,-0.265331,3.672848,6.428814,3.80322,4.238945,1.647406,2.821943,1.487106,-0.107826,3.223111,5.076163,6.735528,2.06773,3.302113,6.849844,2.137557,6.333979,6.320065,4.857138,4.015211,4.568927,6.147021,-1.44697,8.115316,4.092439,5.961259,3.842263,7.071253,7.22803,8.089503,4.209145,6.40773,5.893085,-1.697779,-2.044889,-2.970964,6.086187,5.935902,3.108933,-5.701232,-4.077426,0.537541,6.961533,6.384882,6.179618,6.264184,0.532873
COLO-824,skin,melanoma,-1.75479,4.805064,1.194377,2.449926,0.016935,6.296792,5.989659,8.563779,4.597758,5.487609,3.273372,2.848783,6.273437,-2.205481,3.621074,5.766805,6.212411,5.507003,5.50499,0.983478,3.041071,4.948261,2.655261,3.529315,2.718521,7.009785,7.154385,6.954119,5.312396,1.017408,2.708222,5.671234,5.263685,3.976481,0.232527,5.386623,-0.29721,6.094463,3.410463,2.11497,3.133085,-1.036455,3.983368,6.302181,5.129095,0.299758,7.467649,3.713418,7.782599,5.316899,-4.89723,1.273625,4.86525,-2.633708,3.740233,-3.75884,5.762944,4.878312,2.89562,4.104359,6.2189,3.241024,4.87573,4.110646,3.828999,4.268212,5.096109,2.884988,3.303933,4.812472,6.037777,4.756066,3.82414,6.937283,-0.450316,-0.129714,5.292337,6.509474,-2.075608,5.335291,6.102333,6.032185,2.694583,4.095543,5.614828,2.659542,1.059294,0.367839,7.544349,4.850324,-0.37198,2.385718,5.295666,6.111096,2.914718,3.885426,-0.388264,1.183482,3.207934,5.895999,4.996912,5.298436,3.825974,1.83716,5.18808,6.552197,1.625928,6.263769,4.931352,7.608164,4.196886,2.397656,5.643059,1.063912,6.578203,5.155307,6.377467,6.056792,5.036432,3.431895,-0.335197,5.153548,5.610808,6.776066,-0.369344,2.900227,-2.739121,6.123555,5.697326,5.257341,-1.849782,-3.052443,2.044931,5.915908,6.779345,5.734303,1.687168,1.449819
COR-L105,skin,melanoma,4.377592,5.035576,,,2.812576,4.047059,2.68618,8.260316,3.124923,4.884797,0.771834,0.573639,6.71954,-3.95732,,,4.179798,1.142509,1.853139,-1.503499,2.043064,1.290151,0.128866,,-1.556646,6.400755,,,3.140299,-2.022505,4.410039,4.31459,4.578184,1.996785,,0.003929,-2.032794,3.327205,3.06929,1.478591,,,3.89127,1.895031,,-1.687803,,-1.830168,3.275016,,-0.661276,-1.66643,3.373445,-4.99621,3.106546,-4.652494,,2.258584,1.883343,4.10108,5.683817,4.634246,,3.250854,3.539245,,-0.704793,,-0.411682,-3.525996,1.996275,,3.114996,6.147086,-1.446805,,,6.597832,-2.081336,5.862963,,3.700674,,0.586323,,2.825151,-0.992341,0.4782,6.59674,4.941507,-4.196845,,4.306874,3.847712,3.776208,1.827163,-1.132638,2.852866,-2.635056,1.390785,5.045875,,4.073013,2.426901,,6.793859,,,3.081675,,3.12774,2.642673,4.45581,,,,6.093077,5.525914,6.502882,,-1.468192,,,,-0.341578,-2.910142,-4.461475,1.979088,,3.696335,-2.721969,-3.47565,1.418402,,,,,2.496683
COR-L23,lung,lung_small_cell_carcinoma,-0.760062,-0.284674,,,0.587086,6.250016,2.861898,6.590205,4.72259,2.4472,3.082145,3.450572,6.110824,-3.607017,,,4.16878,1.375407,3.498725,-0.909174,0.298953,2.890433,0.866652,,3.185389,5.759353,,,3.976126,-0.035321,1.392123,2.803759,4.637823,-2.583919,,1.027702,-1.738003,5.287318,2.655675,-0.407317,,,5.523106,1.980201,,-4.983614,,-0.22724,7.53954,,-5.886774,-3.443119,5.258735,0.357537,2.264793,-6.605306,,1.82177,0.967287,2.598661,4.682912,1.215741,,4.033676,1.560329,,5.453958,,3.932233,-4.259167,2.468862,,1.861513,4.865863,0.001605,,,6.577902,-3.956997,5.077544,,6.545872,,3.493694,,-2.104387,2.414826,-1.423193,5.263946,4.345429,-3.012633,,5.216986,3.936905,3.854373,-0.087429,-2.791368,2.72188,-0.337455,0.206471,5.659755,,5.31392,1.541759,,3.306203,,,3.44369,,1.930518,1.020925,1.852148,,,,6.359497,3.799689,4.086538,,-1.199001,,,,-0.526504,1.070391,-7.196354,2.623379,,5.773799,-5.620479,-4.61668,0.949979,,,,,1.44154
COR-L279,blood,B_cell_lymphoma,4.687974,5.183867,-0.562447,5.893159,-1.073414,6.055401,6.226482,8.389831,0.519175,5.550832,3.589007,4.563992,5.919005,-1.842857,3.621651,5.108084,3.708964,5.87501,5.981314,0.917867,0.069696,4.772258,1.435061,-2.348045,3.772496,6.804251,4.71885,4.482574,6.345516,3.635089,1.977023,4.674479,5.199077,3.23288,-1.377644,5.324467,-0.008866,5.908829,4.990187,-0.169993,3.150488,-1.767112,6.141709,5.245317,5.296506,-6.674608,5.675329,5.246498,8.92703,3.695983,-2.60396,-2.865592,4.44499,1.348503,4.074902,-4.680662,,0.237001,4.188536,4.528271,6.63296,1.475211,3.191549,2.670156,3.422254,0.729382,5.374478,-2.310713,3.012241,-2.920352,8.500053,5.971094,5.486559,5.072967,0.120527,-2.222662,6.88156,6.337514,-3.026488,5.094149,6.209759,6.081414,3.288112,4.864326,-0.342541,-2.545165,1.270764,-5.194915,7.656945,5.585655,-1.590624,3.834008,5.619251,6.654896,4.9274,3.142174,-0.558876,3.704945,3.321261,6.246216,5.316185,5.405578,4.831828,4.451773,5.188791,6.54207,-4.606195,3.37143,3.833156,1.852176,3.098412,5.678236,6.178901,-2.438969,2.508844,1.050403,6.940649,6.421077,7.170271,3.173148,5.237975,2.897907,2.239741,4.255034,1.676899,1.309777,-3.315877,2.073737,1.560019,5.096536,-2.467009,-2.131913,0.444997,4.821922,4.288267,2.077623,5.230902,2.752757
COR-L88,blood,acute_myeloid_leukaemia,0.891669,4.544509,-0.304423,3.103557,-0.794691,5.856355,5.350338,9.454421,5.055046,5.590765,1.752406,6.014462,6.496136,-1.765296,5.440264,5.348159,5.50482,5.002734,5.423991,0.093931,1.225204,3.648012,4.288013,-1.910381,3.590926,7.104602,5.87738,5.12682,6.588219,3.981006,3.098574,5.76897,4.593176,4.296255,-5.662225,4.762123,-0.791998,6.099717,5.366488,2.224329,3.359167,0.572024,5.949802,5.701211,1.98495,-0.912273,6.336623,3.488306,5.610582,5.54193,-2.011789,1.48065,3.592571,2.902622,3.677887,-2.128828,5.760341,3.886398,4.555025,5.088152,6.052434,4.753111,5.346429,3.780794,4.978466,4.039633,3.852164,-2.546437,2.522489,2.441363,7.921442,5.064062,3.8522,7.571108,0.944582,0.107546,5.922961,6.514917,-5.756854,4.73064,5.256966,5.301426,2.560182,6.314316,-1.471443,1.814954,2.26182,-1.142131,7.159751,5.37138,-0.877111,5.503096,3.15579,6.382974,4.987605,4.868985,3.785699,1.061646,3.514452,6.12443,4.62744,4.918794,3.754914,5.001393,5.205156,6.666464,-2.825655,6.440051,3.618928,5.560681,3.865728,5.20596,6.559753,2.792025,7.830802,1.661753,7.258227,5.884494,7.179034,3.400548,4.697315,3.280143,2.772664,3.039137,0.439112,1.854609,-1.322797,3.868837,3.812816,4.24256,-2.56031,-3.357628,0.117551,4.971636,7.557171,7.343069,5.443117,4.242081
CP66-MEL,digestive_system,large_intestine,-0.415941,5.700394,-0.778451,4.776485,3.834278,6.251442,6.359486,8.989583,5.791255,4.308919,3.742149,4.326695,7.003355,-2.540014,-2.026801,4.839193,5.533077,2.830246,4.416108,0.172508,0.629115,2.712314,6.673509,-1.143246,3.78748,6.182251,5.141445,3.810189,4.979068,0.528321,5.569888,4.160362,3.922054,6.86373,-7.655915,4.816553,-3.789011,6.360837,6.084516,1.747232,4.218302,0.840837,5.126433,-1.85868,4.457915,-0.508398,7.002068,3.73226,6.096986,-1.633146,-3.617121,0.701943,7.35168,-2.601571,1.505249,-4.450538,3.460616,1.833186,-1.316547,4.131339,7.013204,2.345937,4.33849,4.30439,6.546185,3.598673,1.77701,-1.820563,4.319291,4.52489,6.167118,4.679821,5.762981,7.256068,-0.198669,-1.157895,6.523835,5.953704,-2.831165,5.682706,5.164527,5.717445,-2.59023,3.606819,0.907332,3.234552,3.703843,-0.438582,5.992895,4.186696,-1.119448,4.04415,5.023294,6.319013,0.828614,6.148746,-0.137996,5.23391,-6.211946,6.686504,5.681869,4.816918,7.495259,3.834686,4.827273,2.678848,-0.049207,4.973422,3.682866,7.113759,3.126376,-2.790074,4.475781,1.332615,6.480178,1.236649,,5.940555,7.571127,3.416988,0.874081,3.665439,6.275643,6.314818,1.047901,1.713507,-5.627906,2.28435,4.144364,5.461621,-2.283935,-3.099401,1.481586,2.365264,4.459671,3.218702,-0.17858,5.036188
CP67-MEL,urogenital_system,cervix,,,-1.162418,4.196346,,,,,,,,,,,,3.820436,,,,,,,,-0.391619,,,2.399134,-0.107752,,,,,,,,,,,,,3.511954,-2.956655,,,3.668581,,,,,-1.58533,,,,,,,,,,,,,3.572183,,,,,-2.1501,,,,5.096778,,,,-3.281027,,,,,,,,,,,,,,,,2.628605,,,,,,,,,,4.255724,,,4.20354,,-2.686727,,,,,,,-1.612563,,0.870202,,,,,,,4.886907,,,,,,2.143894,,,,,2.922424,5.246504,,-1.319387,
CPC-N,digestive_system,large_intestine,4.545281,1.185703,0.561514,4.958908,-1.246212,5.8724,5.436948,6.315134,3.056306,4.82571,4.215041,3.592056,6.264004,2.398536,5.482463,4.721821,5.904783,3.373952,5.235262,-1.500486,0.020558,2.609479,3.003737,-2.729641,0.766136,6.769566,2.938357,1.156864,5.539138,-0.587022,2.988668,4.598427,4.784338,3.960604,-5.745656,3.830594,0.035574,6.887726,3.301978,-1.342184,6.028032,2.435639,6.218726,6.554158,1.059654,-3.144092,2.629833,1.348461,9.166551,3.732094,-4.297176,-2.682349,3.663275,1.508731,6.213206,-4.538591,4.694712,2.913762,4.078926,5.105402,4.320812,1.301959,3.200037,3.099392,2.334637,4.77242,4.161653,-3.189621,3.290625,-1.11171,7.854638,5.778629,3.258638,6.77843,1.440169,0.147454,4.321487,5.30845,-3.346477,5.174203,5.013018,3.001098,-0.898989,2.249754,-0.598925,-3.712528,4.512931,-0.965857,6.824027,3.201763,-1.891915,-0.285879,0.83148,4.037306,1.685322,6.929347,0.683105,5.251252,3.187209,2.988349,4.639621,4.225183,5.630874,5.74863,4.901457,3.823774,-2.875569,6.032789,6.083639,2.984465,2.611046,4.017575,6.281882,-0.284419,5.929664,1.935141,5.925484,6.316214,6.980446,6.4827,3.188928,5.241651,2.978898,3.549231,-1.681146,1.222112,-4.602511,2.691936,1.736188,3.342492,-6.24272,-1.14332,-0.235753,3.087468,5.925568,2.753168,3.134427,1.835454
CRO-AP2,lung,lung_NSCLC_adenocarcinoma,-0.623849,3.932517,,,4.303457,5.026232,3.688037,5.818079,,4.77771,,,6.269625,,2.924079,6.10454,3.292574,3.518835,2.599357,-1.949882,-3.207272,0.441197,,,1.2701,4.100627,,,5.825759,,-0.259029,,,,,2.213262,,6.191368,1.084196,-2.197941,,,,3.561586,,-6.902618,,-0.578238,,,-3.55647,,4.025797,-4.377914,,,,,,,4.082536,-0.120669,,,,0.859033,4.456156,,3.557281,,,6.051694,1.600299,6.757883,,,,3.885383,,,,0.601084,,-1.252352,-1.778506,-4.386449,,,,1.612593,-4.628035,,1.483108,0.181746,,,,,1.889772,0.165666,1.19099,,5.792179,,5.182541,6.057712,,,,2.929,,4.162578,2.329769,,,,7.137833,4.976379,6.419105,,,4.82759,,,-1.059368,-7.352263,,,,2.078272,-7.449206,,-1.133359,,,,,-0.426025
CTB-1,lung,lung_NSCLC_adenocarcinoma,2.147152,0.803686,-0.675975,4.311083,5.335818,6.416363,4.932658,6.451863,2.02782,5.427537,-1.753547,3.701308,4.274523,-2.004802,3.462262,2.609686,4.852353,6.275801,3.604055,-2.281341,-1.883165,2.446933,2.109108,-1.406785,3.437582,7.278028,3.001811,3.150152,6.712422,1.270253,1.706812,6.016367,3.20086,-3.61417,-4.638435,-0.521745,-0.500906,6.980589,2.90393,-2.319762,3.649064,-1.879917,4.889571,2.445143,0.482544,-8.031945,5.598321,-2.313606,4.453928,10.072152,-4.910286,-2.745922,4.037958,-4.104182,3.333308,-4.790839,2.918174,0.523342,3.419357,4.390861,4.967121,1.056509,4.875885,5.211899,3.687455,4.030024,5.147098,-1.019654,3.288956,-2.930091,2.537758,4.506848,2.234679,7.195075,0.101042,-1.503831,4.452119,3.041713,-4.00095,5.944836,5.604796,3.944059,-0.249038,1.628543,1.116374,-5.51782,0.396085,-1.182972,5.143077,2.602457,-3.584245,1.604869,2.524483,1.198633,3.112078,2.077634,-2.578583,0.362466,3.689596,-0.117222,1.26088,3.129699,4.787737,4.906501,5.384285,2.369755,-2.549768,1.348835,3.076642,3.319986,3.006225,6.175598,2.117953,1.550866,5.573773,1.163578,7.136314,6.195989,6.788754,3.072877,-0.151966,3.499839,2.619542,6.042544,-1.601789,-3.608893,-4.07653,2.055927,2.641404,3.384074,-5.234047,-3.921932,-0.655844,4.020015,4.22354,2.017881,4.819862,1.180074
CTV-1,urogenital_system,ovary,0.752697,1.624825,-1.12935,-9.923383,5.463266,4.42015,3.021467,6.354188,2.613994,5.18498,-5.25796,1.047083,5.290272,-3.190276,0.182863,-2.789847,3.021791,4.260907,2.68678,-2.501927,-1.20102,1.517145,0.403003,-2.900047,1.165038,6.993063,1.840421,1.058056,5.939157,0.800151,2.876655,4.099366,4.784281,1.593312,-5.878421,-2.54609,0.045507,6.539937,3.949377,-1.158564,5.684042,-2.718105,2.244844,2.978566,1.984159,-6.428602,3.933276,-3.738683,6.14778,-10.117743,-4.388833,-4.130668,5.256907,-2.642272,2.237615,-5.266771,6.151169,-0.892343,1.621226,5.013066,4.429064,0.333739,5.771289,2.598605,2.968129,3.174485,1.447866,-3.493651,1.572931,-4.258957,2.236768,3.525739,1.224491,7.048641,-0.90332,-2.726024,5.745925,3.954367,-3.554983,4.81194,5.763721,5.227237,2.312328,1.314814,0.242361,-1.896351,0.701289,-3.981073,6.018399,2.733219,-3.203699,-0.586547,2.399118,1.599339,3.04953,1.663205,-2.587982,0.674014,0.693001,1.118682,1.192108,-0.516709,3.68508,1.179813,2.287496,4.605579,-4.214758,4.306108,1.826004,0.906772,3.181304,2.801719,5.319319,-0.294501,5.469652,-0.238508,3.243464,3.02159,6.707996,3.070939,3.488991,3.757487,0.546682,6.470335,-0.669792,-3.149322,-5.25985,1.521269,-0.531489,3.146186,-5.723563,-5.296102,0.072868,-10.355342,4.263204,2.790052,4.746963,0.460372
CW-2,urogenital_system,ovary,1.267832,4.66984,4.980516,7.231315,4.037721,6.152297,5.169653,8.759736,5.920719,5.588902,4.18596,7.038564,6.374873,4.14135,5.590692,5.746043,6.045088,4.436513,5.30824,4.11772,0.726944,5.437982,7.339554,3.965477,-0.756846,6.943572,7.887795,6.88597,5.900645,5.49419,4.983472,7.2419,4.760838,6.335161,1.371055,5.214517,0.334198,4.697041,2.540744,5.0478,5.831786,1.154807,5.876415,4.700553,4.482961,-3.339672,6.993617,-0.489736,11.069142,5.47531,-2.347205,5.362597,2.621371,-1.356082,8.729864,1.946891,4.800883,6.283194,8.778084,4.976534,6.840081,4.816622,5.845896,5.530808,8.048576,5.298389,5.30947,3.438714,2.717482,2.41803,8.565445,5.876728,2.353034,6.920941,4.152673,4.352663,6.38129,6.497803,1.514011,7.748527,3.900623,6.414231,3.802971,3.073011,5.933945,2.758564,4.491706,2.044796,6.640501,3.057319,-1.309497,4.926829,5.175325,5.562437,6.272296,7.904067,8.079047,5.599156,1.163992,4.415,5.14043,5.510832,3.967749,5.850833,4.738484,6.780172,3.050924,7.072529,7.467481,7.891514,7.707067,3.748578,4.930418,1.768079,7.81989,6.034643,6.965658,6.677556,6.068248,8.291481,6.516418,5.748536,5.950277,6.795012,-0.807734,3.064031,4.877454,7.839765,6.301958,5.200761,-2.288902,2.232693,1.432703,5.276507,7.797803,7.385248,6.181277,3.973664
Ca-Ski,pancreas,pancreas,-1.407854,3.73936,,,0.971922,4.870995,4.697039,6.575697,1.675432,4.678902,-0.433711,4.947055,6.436052,-3.274309,,,5.138281,5.938573,5.059705,-2.225295,-0.245923,1.70715,1.516026,,0.660298,5.397269,,,4.266457,1.24383,1.603956,4.901329,4.711078,-0.225361,,-0.724634,-2.620391,6.307127,1.759418,-1.883736,,,4.933261,3.912205,,-5.749494,,-0.901137,5.056711,,-7.551832,-3.104578,6.827107,-3.758228,2.901726,-5.559361,,0.845136,2.492036,3.784723,5.08598,-0.3863,,4.399279,3.323041,,2.540881,,0.838383,-4.948632,8.162275,,2.042133,5.302301,-0.630679,,,4.539832,-3.143025,5.191645,,5.043872,,0.277014,,0.29436,2.919622,-2.923362,6.699771,2.341942,-2.737293,,2.116809,6.331067,3.566998,2.676828,-0.903282,3.353291,-0.150928,2.787982,4.103381,,6.334245,3.215817,,5.458082,,,4.581072,,6.298868,2.623882,1.91914,,,,6.88451,6.667997,7.423699,,-0.430302,,,,-1.188709,-2.971553,-3.435235,2.216086,,4.282184,-5.571224,-3.956765,0.707616,,,,,1.893434
Ca9-22,lung,lung_NSCLC_not_specified,1.494456,1.063636,,,2.560716,5.5275,3.70105,7.137095,1.787305,4.645183,3.510354,3.680321,6.103819,-3.577134,,,4.328634,0.865702,2.233101,-0.614768,-0.239066,2.309216,2.478727,,-2.482598,5.62994,,,3.776517,1.900733,0.755403,3.420095,4.819279,-0.293255,,0.446349,-0.683309,5.913445,1.454319,-0.105462,,,5.101819,1.08942,,-6.114453,,-1.137034,6.828367,,-7.561612,-2.994402,4.364099,-5.461524,2.52073,-6.784641,,0.78302,1.79155,0.961124,6.160013,2.681389,,3.817422,3.356295,,5.178228,,-0.529944,-6.477359,3.334773,,3.136612,6.000103,-0.94295,,,3.357384,-4.033313,5.954665,,5.574391,,4.940449,,1.225227,2.727893,-1.860682,6.352247,3.382011,-3.394583,,4.981886,4.906063,4.092924,0.646231,-2.195688,5.121001,-1.658905,1.819229,3.382888,,3.244279,1.516261,,6.144411,,,5.851794,,2.890385,-0.019028,3.899977,,,,4.953028,5.566521,6.114595,,-0.543635,,,,-5.56745,-2.337087,-3.781964,1.077616,,5.070943,-5.052798,-4.578712,0.049807,,,,,1.190767
