1321n1	1321N1
ncih322	NCI-H322
ncih3255	NCI-H3255
ncih358	NCI-H358
ncih441	NCI-H441
ncih460	NCI-H460
ncih520	NCI-H520
ncih522	NCI-H522
ncih647	NCI-H647
ncih650	NCI-H650
ncih661	NCI-H661
ncih727	NCI-H727
ncih747	NCI-H747
ncih810	NCI-H810
ncin87	NCI-N87
nco2	NCO2
nih:ovcar3	NIH:OVCAR-3
nugc3	NUGC-3
nugc4	NUGC-4
oc314	OC 314
oc315	OC 315
oc316	OC 316
ociaml2	OCI-AML2
ociaml5	OCI-AML5
ocily10	OCI-LY10
ocum1	OCUM-1
oe21	OE21
oe33	OE33
oncodg1	ONCO-DG-1
ons76	ONS-76
opm2	OPM-2
ov90	OV-90
ovcar4	OVCAR-4
ovcar8	OVCAR-8
ovmana	OVMANA
ovsaho	OVSAHO
ovtoko	OVTOKO
p12ichikawa	P12-ICHIKAWA
p31/fuj	P31/FUJ
p3hr1	P3HR-1
patu8902	PA-TU-8902
panc0203	Panc 02.03
panc0327	Panc 03.27
panc0403	Panc 04.03
panc1005	Panc 10.05
pc14	PC-14
pc3	PC-3
pfeiffer	Pfeiffer
pk1	PK-1
pk45h	PK-45H
pk59	PK-59
pl45	PL45
plc/prf/5	PLC/PRF/5
psn1	PSN1
qgp1	QGP-1
raji	Raji
rd	RD
reh	Reh
rerfgc1b	RERF-GC-1B
rerflcai	RERF-LC-AI
rerflcms	RERF-LC-MS
rkn	RKN
rko	RKO
rl952	RL95-2
rpmi7951	RPMI-7951
rpmi8402	RPMI-8402
rt112	RT-112
rt4	RT4
rvh421	RVH-421
saos2	Saos-2
sbc5	SBC-5
scaber	SCaBER
scc25	SCC-25
scc9	SCC-9
sf295	SF-295
sf126	SF126
sf8657	SF8657
sh10tc	SH-10-TC
shp77	SHP-77
sigm5	SIG-M5
sima	SIMA
sjrh30	SJRH30
sjsa1	SJSA-1
skbr3	SK-BR-3
skco1	SK-CO-1
skes1	SK-ES-1
skhep1	SK-HEP-1
sklms1	SK-LMS-1
sklu1	SK-LU-1
skmel2	SK-MEL-2
skmel24	SK-MEL-24
skmel30	SK-MEL-30
skmel31	SK-MEL-31
skmel5	SK-MEL-5
skmes1	SK-MES-1
skmm2	SK-MM-2
sknas	SK-N-AS
sknbe(2)	SK-N-BE(2)
skndz	SK-N-DZ
sknfi	SK-N-FI
sknsh	SK-N-SH
skov3	SK-OV-3
sngm	SNG-M
snu1	SNU-1
snu16	SNU-16
snu182	SNU-182
snu387	SNU-387
snu398	SNU-398
snu423	SNU-423
snu449	SNU-449
snu475	SNU-475
snuc2a	SNU-C2A
snuc2b	SNU-C2B
sq1	Sq-1
sudhl10	SU-DHL-10
sudhl4	SU-DHL-4
sudhl6	SU-DHL-6
sudhl8	SU-DHL-8
su8686	SU.86.86
suit2	SUIT-2
supm2	SUP-M2
supt1	SUP-T1
sw1088	SW 1088
sw1271	SW 1271
sw1353	SW 1353
sw1573	SW 1573
sw1990	SW 1990
sw780	SW 780
sw900	SW 900
sw1417	SW1417
sw403	SW403
sw48	SW48
sw480	SW480
sw579	SW579
sw620	SW620
t47d	T-47D
t24	T24
t3m10	T3M-10
t84	T84
t98g	T98G
tc71	TC-71
tccsup	TCCSUP
te617t	TE 617.T
te1	TE-1
te11	TE-11
te15	TE-15
te5	TE-5
te9	TE-9
ten	TEN
toledo	Toledo
tov112d	TOV-112D
tov21g	TOV-21G
tt2609c02	TT2609-C02
tyknu	TYK-nu
u118mg	U-118 MG
u2os	U-2 OS
u87mg	U-87 MG
u937	U-937
uacc257	UACC-257
uacc62	UACC-62
uacc812	UACC-812
umuc3	UM-UC-3
vmrclcd	VMRC-LCD
vmrcrcw	VMRC-RCW
vmrcrcz	VMRC-RCZ
wm115	WM-115
wm2664	WM-266-4
wm793	WM-793
wm88	WM-88
wm983b	WM-983B
wm1799	WM1799
ykg1	YKG1
zr751	ZR-75-1
zr7530	ZR-75-30
